candidate_id,skills,experience_years,education,location,salary_expectation
31,"Python,Tableau,SQL,Pandas",1,High School,Haifa,25230
32,"Excel,NumPy,Spark",9,High School,Tel Aviv,25737
33,"Scikit-learn,NumPy,AWS,TensorFlow,Git",4,PhD,Haifa,21830
34,"TensorFlow,Git,SQL,Python,Power BI,Docker",1,Bachelor,Jerusalem,16340
35,"SQL,NumPy,TensorFlow,Scikit-learn,Pandas",7,Master,Tel Aviv,21810
36,"Pandas,Scikit-learn,SQL",1,Bachelor,Jerusalem,21232
37,"Docker,TensorFlow,NumPy,AWS",10,Master,Remote,20228
38,"SQL,AWS,PyTorch",4,High School,Tel Aviv,22929
39,"AWS,Scikit-learn,Pandas,Power BI",8,PhD,Tel Aviv,15665
40,"Docker,Pandas,Tableau",0,Master,Haifa,26083
41,"Python,Scikit-learn,TensorFlow,Spark",5,Bachelor,Haifa,15368
42,"Git,Tableau,PyTorch,Excel,Pandas",3,Bachelor,Haifa,25510
43,"Pandas,Docker,TensorFlow",6,Bachelor,Jerusalem,17216
44,"PyTorch,Python,Power BI",3,Bachelor,Remote,23457
45,"Spark,Git,NumPy,Docker,Python",10,Bachelor,Remote,22756
46,"Spark,SQL,Scikit-learn,TensorFlow,Tableau",6,Master,Tel Aviv,15779
47,"Pandas,Excel,Scikit-learn,Python,SQL",9,PhD,Jerusalem,22278
48,"Excel,Tableau,SQL,PyTorch,Spark,NumPy",4,High School,Remote,12055
49,"TensorFlow,PyTorch,SQL,AWS",5,Master,Tel Aviv,21840
50,"AWS,PyTorch,TensorFlow,Git,Scikit-learn",8,Bachelor,Haifa,25777
51,"AWS,Docker,Pandas,Excel,Spark,Scikit-learn",6,High School,Jerusalem,21401
52,"PyTorch,Git,Excel,Docker",10,Master,Remote,26476
53,"AWS,NumPy,Tableau,Power BI,Pandas,SQL",4,Master,Tel Aviv,19696
54,"NumPy,Git,Spark,Pandas,Python",0,Bachelor,Remote,14386
55,"PyTorch,AWS,Excel,NumPy,Spark,Power BI",6,Bachelor,Haifa,12181
56,"Git,PyTorch,NumPy",2,PhD,Tel Aviv,20165
57,"Power BI,Pandas,Spark",10,Master,Remote,28540
58,"Spark,Tableau,Power BI,Pandas,Docker,Excel",4,Bachelor,Jerusalem,29081
59,"AWS,NumPy,Scikit-learn,Power BI,SQL,Docker",3,Master,Jerusalem,22476
60,"Pandas,Spark,NumPy",6,Bachelor,Haifa,14104
61,"PyTorch,TensorFlow,Tableau,Power BI,Spark,Python",3,PhD,Remote,12640
62,"Power BI,Python,TensorFlow,Scikit-learn,PyTorch,Excel",8,Bachelor,Remote,19190
63,"PyTorch,Power BI,Python,Spark,TensorFlow",10,PhD,Haifa,27315
64,"Excel,Tableau,Python,PyTorch",9,High School,Tel Aviv,26044
65,"Spark,Power BI,Pandas,Python",4,PhD,Jerusalem,18935
66,"TensorFlow,Spark,PyTorch,Scikit-learn,Docker,AWS",1,PhD,Tel Aviv,29675
67,"TensorFlow,NumPy,AWS",1,High School,Tel Aviv,20102
68,"Spark,Python,Excel,Pandas",3,Bachelor,Remote,15748
69,"Power BI,Docker,Scikit-learn,TensorFlow",2,High School,Haifa,22192
70,"Excel,Python,Scikit-learn",9,PhD,Remote,18498
71,"Excel,Docker,AWS",3,High School,Jerusalem,15966
72,"TensorFlow,Tableau,PyTorch",10,Master,Tel Aviv,28579
73,"Python,PyTorch,Power BI,SQL,Git",5,PhD,Haifa,26270
74,"Docker,Tableau,AWS,Scikit-learn",9,PhD,Remote,26272
75,"TensorFlow,NumPy,SQL,Scikit-learn,Power BI",3,PhD,Remote,23023
76,"Power BI,TensorFlow,Pandas",7,Bachelor,Jerusalem,20465
77,"Scikit-learn,Excel,Docker,Spark,Tableau",0,Bachelor,Tel Aviv,19908
78,"Power BI,Tableau,NumPy,Spark,AWS,Excel",0,High School,Jerusalem,19261
79,"Docker,NumPy,Scikit-learn,AWS,Excel,TensorFlow",7,Master,Remote,22839
80,"Docker,Power BI,Scikit-learn,Spark,AWS",3,High School,Haifa,22339
81,"Docker,Tableau,Spark",2,Bachelor,Haifa,27866
82,"Docker,Excel,Tableau,Git,Scikit-learn",1,Bachelor,Jerusalem,19454
83,"Pandas,Scikit-learn,Python,Tableau,Spark",4,High School,Tel Aviv,21572
84,"AWS,Git,Power BI,SQL",0,Master,Remote,27686
85,"TensorFlow,Pandas,Python,Scikit-learn,Power BI,SQL",1,PhD,Remote,14427
86,"Pandas,Spark,Excel",4,High School,Haifa,15881
87,"Excel,Spark,Git,NumPy,Tableau,PyTorch",7,PhD,Jerusalem,26051
88,"Excel,Spark,Python,Git,SQL",3,Bachelor,Jerusalem,14660
89,"NumPy,Pandas,Tableau,SQL",2,High School,Remote,26762
90,"Scikit-learn,Python,NumPy,Spark,AWS,Power BI",1,Bachelor,Jerusalem,18482
91,"SQL,Tableau,NumPy,AWS,Pandas,Scikit-learn",2,High School,Tel Aviv,17436
92,"Excel,Docker,Spark,Scikit-learn,Power BI",1,PhD,Jerusalem,25189
93,"Tableau,Spark,Power BI,Docker,SQL",9,High School,Remote,22561
94,"Python,SQL,NumPy,AWS,Excel",9,High School,Jerusalem,13318
95,"Power BI,Tableau,AWS,Spark",4,Bachelor,Remote,28112
96,"Power BI,TensorFlow,PyTorch",5,Master,Tel Aviv,17269
97,"PyTorch,Docker,Power BI,Scikit-learn,Spark",8,High School,Remote,14885
98,"Scikit-learn,TensorFlow,SQL,PyTorch,Tableau",0,PhD,Remote,13776
99,"Tableau,TensorFlow,Excel,Power BI",10,PhD,Tel Aviv,18670
100,"Tableau,Pandas,Scikit-learn,Power BI,AWS",1,High School,Haifa,17189
101,"Tableau,Python,Spark,PyTorch,SQL",3,High School,Remote,15849
102,"Power BI,Docker,Scikit-learn,Tableau",4,PhD,Remote,27473
103,"Power BI,Tableau,Pandas,PyTorch",3,Bachelor,Tel Aviv,21052
104,"TensorFlow,Git,Tableau,Scikit-learn,Python,AWS",4,PhD,Haifa,26632
105,"TensorFlow,Spark,Tableau,Docker,PyTorch,Power BI",5,Bachelor,Haifa,24549
106,"Spark,Git,PyTorch,Python",5,PhD,Remote,24651
107,"Power BI,Python,Pandas,Tableau",9,Master,Tel Aviv,26427
108,"Tableau,Power BI,Python",2,PhD,Haifa,14451
109,"Git,Scikit-learn,TensorFlow,Excel,PyTorch,SQL",5,PhD,Jerusalem,27989
110,"Excel,SQL,NumPy",10,Master,Haifa,14961
111,"SQL,Git,AWS,Spark,Power BI,Pandas",4,High School,Tel Aviv,22629
112,"Scikit-learn,TensorFlow,Git",6,Bachelor,Haifa,29405
113,"Excel,AWS,Pandas,Docker,Git,SQL",9,PhD,Haifa,28307
114,"NumPy,Power BI,AWS,Scikit-learn",7,Master,Tel Aviv,27245
115,"AWS,Tableau,Pandas,SQL,Power BI",5,Master,Remote,20195
116,"Spark,Scikit-learn,NumPy,PyTorch,Power BI,SQL",3,PhD,Jerusalem,21695
117,"Python,AWS,PyTorch,Scikit-learn,Spark",9,High School,Remote,21378
118,"Excel,Git,TensorFlow,NumPy",10,Bachelor,Jerusalem,16481
119,"AWS,Spark,Python",4,PhD,Tel Aviv,23955
120,"SQL,Scikit-learn,TensorFlow,PyTorch",2,Bachelor,Haifa,29675
121,"Tableau,Spark,Scikit-learn,Pandas,Docker",7,Master,Jerusalem,15773
122,"SQL,Pandas,NumPy,AWS,PyTorch,Tableau",5,High School,Remote,12456
123,"Tableau,SQL,Power BI,TensorFlow,Scikit-learn",9,PhD,Jerusalem,15550
124,"Power BI,Python,Excel,Tableau",5,Bachelor,Tel Aviv,27213
125,"AWS,PyTorch,SQL,Pandas,Python",0,Master,Remote,15805
126,"NumPy,Tableau,Pandas",6,PhD,Jerusalem,29701
127,"Excel,Docker,Git,Pandas,PyTorch,SQL",7,PhD,Jerusalem,13072
128,"NumPy,Power BI,Git,Spark,TensorFlow",1,Master,Jerusalem,13984
129,"Scikit-learn,NumPy,SQL,Power BI,Docker,Git",10,High School,Tel Aviv,22928
130,"Pandas,Git,Excel,NumPy",1,Bachelor,Haifa,19634
131,"Git,Pandas,Excel,Python,Scikit-learn",2,Bachelor,Jerusalem,17717
132,"AWS,Python,Pandas",0,Master,Haifa,22609
133,"Pandas,Scikit-learn,Python",2,PhD,Tel Aviv,14082
134,"Power BI,Git,TensorFlow,Tableau,Excel,SQL",7,Bachelor,Tel Aviv,29086
135,"Power BI,AWS,Python,Docker,Spark",6,PhD,Tel Aviv,28065
136,"SQL,Spark,TensorFlow,Excel,Pandas,Git",2,Master,Jerusalem,24481
137,"Power BI,Tableau,Excel,PyTorch,SQL",1,Bachelor,Remote,26796
138,"PyTorch,TensorFlow,Power BI,Spark",6,High School,Jerusalem,25984
139,"AWS,Scikit-learn,TensorFlow,Pandas,Power BI",1,High School,Tel Aviv,15054
140,"SQL,Docker,Git,TensorFlow,Pandas,Tableau",0,Master,Tel Aviv,25461
141,"Spark,AWS,PyTorch,Python,Scikit-learn",9,Master,Jerusalem,15394
142,"Pandas,AWS,Power BI,NumPy",1,Master,Jerusalem,15764
143,"Excel,NumPy,PyTorch,Tableau,Spark",9,High School,Jerusalem,12948
144,"Scikit-learn,Docker,Spark,TensorFlow",5,High School,Haifa,16694
145,"SQL,Pandas,Docker,AWS,Python,Spark",8,Bachelor,Remote,25757
146,"TensorFlow,Pandas,Spark,Scikit-learn,Docker,SQL",0,Bachelor,Haifa,13630
147,"Scikit-learn,Power BI,AWS",6,PhD,Remote,25571
148,"NumPy,Git,Tableau,SQL,TensorFlow",6,High School,Jerusalem,27945
149,"Python,NumPy,PyTorch,Excel,Spark",0,Bachelor,Jerusalem,18921
150,"Git,Scikit-learn,Spark,TensorFlow",1,High School,Remote,26111
151,"Pandas,PyTorch,Tableau,NumPy",8,Master,Tel Aviv,25011
152,"PyTorch,Python,Power BI",1,Master,Remote,25252
153,"Scikit-learn,SQL,PyTorch,Python,TensorFlow,Pandas",9,PhD,Jerusalem,14887
154,"Spark,SQL,NumPy,PyTorch,Excel,AWS",8,High School,Remote,22167
155,"NumPy,TensorFlow,Pandas,SQL,Tableau",10,High School,Haifa,23448
156,"Docker,AWS,Pandas,NumPy,SQL",2,Master,Haifa,17685
157,"Git,Spark,AWS,SQL",2,PhD,Remote,26709
158,"Spark,AWS,TensorFlow,Pandas,Power BI",1,PhD,Remote,21922
159,"Excel,Python,TensorFlow,Tableau,SQL",4,PhD,Remote,13232
160,"TensorFlow,Scikit-learn,SQL",10,High School,Remote,27162
161,"Power BI,Git,Excel",10,Bachelor,Jerusalem,27585
162,"Python,Power BI,SQL,TensorFlow",1,Bachelor,Tel Aviv,20118
163,"Power BI,Tableau,Git,Excel,Pandas,TensorFlow",5,Master,Remote,25394
164,"AWS,Excel,Python,Spark,TensorFlow",1,Master,Tel Aviv,24666
165,"Scikit-learn,Docker,AWS,Excel,Pandas",5,High School,Haifa,23462
166,"AWS,Docker,Spark,PyTorch,Pandas",9,High School,Jerusalem,24343
167,"Spark,Pandas,AWS,Docker,Tableau",1,PhD,Jerusalem,12597
168,"Scikit-learn,Pandas,NumPy,TensorFlow,Power BI",3,Bachelor,Haifa,17077
169,"Scikit-learn,Git,SQL",8,High School,Jerusalem,16294
170,"Pandas,Spark,Git,Excel,Docker,Power BI",0,PhD,Jerusalem,19783
171,"Excel,Scikit-learn,Docker,Power BI,NumPy,Tableau",3,Master,Remote,18357
172,"AWS,Excel,Power BI,Docker,Scikit-learn",6,PhD,Haifa,18543
173,"Spark,Scikit-learn,Python,AWS",7,Master,Tel Aviv,28905
174,"Scikit-learn,SQL,Pandas",4,PhD,Haifa,26335
175,"NumPy,Power BI,TensorFlow",0,PhD,Tel Aviv,24991
176,"NumPy,PyTorch,SQL,TensorFlow,Spark",0,Master,Tel Aviv,22986
177,"Pandas,Python,Scikit-learn,Power BI",2,PhD,Remote,12172
178,"Python,Scikit-learn,NumPy",2,PhD,Tel Aviv,21440
179,"Scikit-learn,SQL,Python,NumPy",6,PhD,Tel Aviv,15632
180,"Excel,Tableau,Python,AWS,Git,NumPy",2,Master,Remote,12051
181,"NumPy,Excel,PyTorch,Pandas,SQL",8,Master,Tel Aviv,29237
182,"PyTorch,Power BI,Python",10,PhD,Jerusalem,20311
183,"TensorFlow,Git,SQL",5,Bachelor,Tel Aviv,22895
184,"Python,TensorFlow,Tableau,Git",10,Bachelor,Remote,27680
185,"Git,Pandas,SQL,Power BI",0,Master,Haifa,13435
186,"Python,TensorFlow,Scikit-learn,Tableau",6,PhD,Jerusalem,13199
187,"Scikit-learn,TensorFlow,Python,AWS",5,Master,Tel Aviv,24059
188,"PyTorch,Docker,Power BI,Spark,TensorFlow,Pandas",7,PhD,Jerusalem,29015
189,"Git,SQL,Docker,PyTorch,Spark",6,Bachelor,Jerusalem,22525
190,"SQL,TensorFlow,AWS",4,Master,Remote,25962
191,"Docker,Power BI,TensorFlow,Git",0,Master,Remote,20996
192,"SQL,AWS,Git",6,Master,Haifa,13020
193,"Spark,Excel,AWS,Power BI",0,Bachelor,Tel Aviv,19733
194,"TensorFlow,PyTorch,Excel,Python,Docker",2,PhD,Jerusalem,24190
195,"Git,SQL,Excel,Pandas,Tableau,TensorFlow",6,Master,Jerusalem,20179
196,"Python,Docker,Pandas",7,PhD,Tel Aviv,20577
197,"Docker,Power BI,NumPy,Excel,Scikit-learn",7,Bachelor,Tel Aviv,16447
198,"Power BI,Pandas,Docker",7,High School,Jerusalem,23384
199,"Tableau,Spark,Scikit-learn",4,Bachelor,Haifa,23845
200,"SQL,NumPy,Pandas,Git",7,High School,Jerusalem,24088
201,"Git,Tableau,Pandas,Excel,SQL,AWS",4,PhD,Remote,29225
202,"Git,PyTorch,Excel,SQL,Pandas,TensorFlow",10,High School,Remote,27264
203,"Pandas,Git,Tableau,AWS,Excel",2,Bachelor,Remote,28477
204,"Spark,SQL,Tableau",2,Master,Haifa,17307
205,"Docker,NumPy,TensorFlow,Tableau,Scikit-learn",1,Master,Haifa,20993
206,"AWS,Scikit-learn,Excel,Tableau",1,Bachelor,Haifa,17609
207,"Spark,Excel,Python,Docker,SQL",0,Master,Haifa,25650
208,"Power BI,AWS,Tableau",4,Master,Remote,20024
209,"Scikit-learn,Power BI,SQL,Python,Pandas,Git",6,PhD,Remote,18685
210,"Excel,Pandas,TensorFlow,Docker,AWS",6,Bachelor,Jerusalem,28874
211,"TensorFlow,NumPy,Power BI",1,Master,Remote,20123
212,"SQL,Python,Scikit-learn,PyTorch",9,PhD,Haifa,17233
213,"Excel,Docker,TensorFlow,NumPy,Pandas",7,PhD,Remote,22110
214,"Python,SQL,PyTorch,Tableau,Power BI,NumPy",3,Master,Tel Aviv,13656
215,"Power BI,Excel,AWS,Docker,Spark",4,High School,Tel Aviv,26120
216,"Scikit-learn,Docker,TensorFlow,PyTorch",5,High School,Remote,13676
217,"TensorFlow,Tableau,Scikit-learn,SQL",6,PhD,Jerusalem,15893
218,"SQL,PyTorch,TensorFlow,Docker",8,Master,Haifa,18522
219,"Tableau,Python,Git,Docker,Pandas,TensorFlow",7,PhD,Haifa,28892
220,"TensorFlow,Excel,Spark,Pandas",6,Master,Jerusalem,28623
221,"Docker,Excel,Scikit-learn,Power BI,Python,TensorFlow",5,High School,Remote,22081
222,"Excel,Power BI,Scikit-learn",10,Bachelor,Tel Aviv,27743
223,"Tableau,AWS,Docker,Excel",6,Bachelor,Haifa,13034
224,"NumPy,Python,Power BI",5,PhD,Haifa,25531
225,"PyTorch,Tableau,Excel,Power BI",0,Bachelor,Haifa,22651
226,"Tableau,PyTorch,TensorFlow,Pandas,Power BI,Spark",5,Master,Jerusalem,27865
227,"NumPy,Scikit-learn,Tableau,Git",3,Master,Jerusalem,18792
228,"TensorFlow,Power BI,Spark,Tableau,Scikit-learn,Excel",1,PhD,Remote,23309
229,"Scikit-learn,Python,Spark,SQL",5,PhD,Jerusalem,27698
230,"NumPy,Tableau,Scikit-learn,Git",4,Bachelor,Tel Aviv,19840
231,"Python,AWS,Tableau,NumPy",10,Bachelor,Tel Aviv,15283
232,"TensorFlow,Docker,Power BI,SQL,Pandas,Python",8,Bachelor,Remote,27587
233,"AWS,NumPy,Scikit-learn,TensorFlow,Docker,Python",1,Bachelor,Tel Aviv,17736
234,"Spark,Pandas,Python,PyTorch,Power BI,Git",4,High School,Tel Aviv,21777
235,"TensorFlow,Scikit-learn,Power BI",10,PhD,Haifa,28522
236,"Scikit-learn,NumPy,SQL,TensorFlow,Pandas,Power BI",10,Master,Haifa,12461
237,"Git,Scikit-learn,Excel,AWS,NumPy",2,PhD,Remote,28884
238,"SQL,PyTorch,AWS,Spark,Pandas",2,PhD,Jerusalem,20128
239,"Scikit-learn,PyTorch,NumPy",7,Master,Jerusalem,21894
240,"Scikit-learn,AWS,TensorFlow",3,High School,Tel Aviv,27250
241,"Pandas,PyTorch,AWS,Tableau,Scikit-learn",1,Master,Jerusalem,19236
242,"Pandas,Power BI,Spark,Git",9,Master,Remote,29997
243,"Git,Tableau,AWS,NumPy,Docker,SQL",8,PhD,Jerusalem,14559
244,"Python,Tableau,Git",3,Bachelor,Haifa,22751
245,"SQL,AWS,NumPy,Excel,Power BI,Spark",8,PhD,Tel Aviv,26858
246,"Tableau,PyTorch,Power BI,Excel",0,PhD,Jerusalem,12713
247,"Scikit-learn,Python,Docker,NumPy,Excel,SQL",0,PhD,Jerusalem,14089
248,"SQL,Power BI,Python",4,PhD,Haifa,16437
249,"TensorFlow,PyTorch,Power BI,Git,AWS,SQL",10,Bachelor,Jerusalem,15887
250,"Tableau,PyTorch,Spark,Pandas",3,High School,Tel Aviv,21776
251,"AWS,Docker,Tableau,PyTorch,Git,Spark",3,Bachelor,Remote,23342
252,"Scikit-learn,NumPy,Docker,SQL",0,PhD,Tel Aviv,19886
253,"SQL,Spark,Excel,Python",7,High School,Haifa,13449
254,"Power BI,NumPy,Tableau,Git,Python,Pandas",8,Master,Haifa,22449
255,"NumPy,Scikit-learn,Pandas,AWS,Tableau",3,PhD,Jerusalem,21016
256,"Tableau,Excel,Docker",2,PhD,Remote,13536
257,"AWS,Spark,PyTorch,Tableau,TensorFlow",6,PhD,Haifa,21826
258,"Pandas,Git,Tableau,Power BI,NumPy,Excel",4,Bachelor,Remote,13888
259,"PyTorch,Tableau,Git,Pandas,Spark,NumPy",4,Bachelor,Jerusalem,14590
260,"Spark,TensorFlow,SQL,Tableau,NumPy,Python",4,PhD,Tel Aviv,14384
261,"Git,Spark,Excel,AWS",8,Bachelor,Remote,18844
262,"Scikit-learn,Python,NumPy,Docker,SQL",7,Bachelor,Haifa,24996
263,"Tableau,TensorFlow,Scikit-learn,PyTorch",7,Master,Jerusalem,20570
264,"Tableau,Power BI,Git,SQL,Docker",5,Bachelor,Jerusalem,22253
265,"Python,Excel,NumPy,Pandas,Spark,Scikit-learn",8,PhD,Jerusalem,16994
266,"TensorFlow,NumPy,PyTorch,Excel",3,PhD,Jerusalem,20432
267,"Docker,AWS,Spark,Power BI,Git,Pandas",5,Bachelor,Haifa,29909
268,"Pandas,Tableau,AWS,Python,Git,Docker",1,High School,Tel Aviv,25513
269,"Spark,AWS,NumPy,SQL",2,High School,Haifa,28571
270,"TensorFlow,Python,Excel,AWS,Docker,Power BI",10,PhD,Tel Aviv,12216
271,"Python,Spark,Tableau,Scikit-learn,Docker,AWS",0,PhD,Haifa,15506
272,"Tableau,Pandas,NumPy",3,Master,Jerusalem,20759
273,"SQL,TensorFlow,PyTorch,Power BI,Excel,NumPy",3,Master,Tel Aviv,13038
274,"PyTorch,Spark,Git",8,PhD,Tel Aviv,12309
275,"SQL,Power BI,PyTorch,AWS",5,High School,Tel Aviv,19528
276,"Spark,Docker,Excel,Power BI",4,High School,Tel Aviv,21187
277,"Pandas,TensorFlow,Python",3,Bachelor,Remote,14521
278,"Pandas,Excel,NumPy,Git,PyTorch",10,Master,Remote,16585
279,"Tableau,Docker,TensorFlow",0,High School,Remote,19606
280,"TensorFlow,Excel,Git",9,PhD,Jerusalem,12970
281,"Git,Power BI,Spark,NumPy,TensorFlow",8,PhD,Remote,18086
282,"SQL,Git,Excel,Scikit-learn,NumPy,Spark",1,Master,Haifa,24451
283,"Docker,PyTorch,TensorFlow,Spark",1,High School,Tel Aviv,22101
284,"TensorFlow,Git,Scikit-learn,SQL,Pandas,AWS",2,PhD,Remote,28791
285,"SQL,Python,Spark,TensorFlow,Tableau,Docker",9,Master,Remote,12404
286,"PyTorch,Spark,SQL,Tableau,NumPy",9,Bachelor,Remote,17554
287,"Scikit-learn,Spark,Git,Power BI",2,High School,Haifa,26243
288,"PyTorch,Scikit-learn,Power BI,SQL,TensorFlow",4,Bachelor,Remote,18407
289,"SQL,Pandas,Scikit-learn,Python,PyTorch,TensorFlow",9,PhD,Jerusalem,26425
290,"PyTorch,AWS,Excel,Pandas,Scikit-learn",5,Bachelor,Remote,22295
291,"PyTorch,TensorFlow,Scikit-learn,AWS",7,Bachelor,Jerusalem,24322
292,"Spark,Git,PyTorch,TensorFlow,SQL",9,Bachelor,Haifa,12881
293,"Docker,NumPy,Power BI,Scikit-learn,SQL,PyTorch",10,PhD,Haifa,21923
294,"Scikit-learn,AWS,Pandas,PyTorch",6,High School,Remote,27703
295,"Tableau,Spark,Docker,PyTorch,Git,Python",5,High School,Tel Aviv,20134
296,"Pandas,AWS,Excel,Python,Docker",10,PhD,Jerusalem,26105
297,"Python,SQL,Scikit-learn",3,Bachelor,Remote,24259
298,"Power BI,Git,AWS,Excel,Tableau,Pandas",5,High School,Remote,15425
299,"PyTorch,SQL,Git,Pandas,TensorFlow",4,Master,Remote,18778
300,"TensorFlow,Power BI,SQL,Git,AWS,Spark",1,Master,Tel Aviv,15771
301,"Spark,TensorFlow,AWS",1,Bachelor,Haifa,28908
302,"Tableau,Pandas,TensorFlow,Spark",6,PhD,Haifa,25272
303,"Pandas,AWS,Git,PyTorch",6,High School,Haifa,26731
304,"PyTorch,Python,Docker,NumPy,AWS,Scikit-learn",1,High School,Haifa,23986
305,"NumPy,Power BI,SQL,Scikit-learn,Git",8,Master,Remote,24862
306,"TensorFlow,Spark,Power BI",9,Bachelor,Jerusalem,14777
307,"TensorFlow,SQL,NumPy,Scikit-learn",1,Bachelor,Jerusalem,16632
308,"PyTorch,Excel,Pandas,Git,Spark,AWS",2,PhD,Haifa,17467
309,"Scikit-learn,Pandas,Git,TensorFlow,Power BI,Python",5,High School,Remote,16473
310,"Spark,PyTorch,Tableau,Docker",10,PhD,Remote,28112
311,"Docker,Power BI,Git,Pandas,SQL,Python",3,Master,Tel Aviv,21006
312,"Tableau,Scikit-learn,Pandas,Power BI",9,PhD,Tel Aviv,15742
313,"Git,Tableau,TensorFlow,Spark,Python",7,Bachelor,Remote,15355
314,"Scikit-learn,Python,Power BI,Spark",5,High School,Remote,15846
315,"NumPy,Git,Docker,Excel",5,PhD,Haifa,16562
316,"Spark,NumPy,Python,Excel",5,Master,Haifa,22605
317,"Scikit-learn,Excel,Spark,Tableau,SQL",2,PhD,Tel Aviv,21087
318,"Docker,Pandas,NumPy,Git",5,Bachelor,Remote,28038
319,"Excel,AWS,Scikit-learn,Git",6,PhD,Remote,14474
320,"PyTorch,Tableau,Docker",4,Master,Remote,27992
321,"Excel,Python,Docker,SQL,Power BI",10,Master,Tel Aviv,29512
322,"NumPy,PyTorch,Spark,Power BI,Scikit-learn,TensorFlow",4,Master,Haifa,27903
323,"AWS,Git,Python,Docker,SQL",10,PhD,Tel Aviv,16071
324,"Power BI,Spark,Python,PyTorch",3,Bachelor,Jerusalem,17209
325,"SQL,AWS,TensorFlow,Scikit-learn,Spark",5,Bachelor,Tel Aviv,24987
326,"Docker,Spark,NumPy,PyTorch,SQL",1,High School,Haifa,27624
327,"Pandas,Excel,NumPy",8,PhD,Tel Aviv,12264
328,"Spark,SQL,PyTorch,Pandas,Power BI",1,Bachelor,Remote,14927
329,"SQL,TensorFlow,Git",4,Bachelor,Remote,16362
330,"SQL,Tableau,Excel,Python",9,Bachelor,Remote,23507
331,"AWS,Docker,Pandas,PyTorch",9,PhD,Haifa,14840
332,"Pandas,Git,SQL",9,PhD,Jerusalem,26070
333,"Git,Pandas,NumPy,Scikit-learn,SQL",3,Master,Tel Aviv,21884
334,"Tableau,Excel,Spark,NumPy",6,Master,Tel Aviv,19842
335,"PyTorch,SQL,NumPy,Power BI,Excel,Git",8,High School,Jerusalem,22370
336,"PyTorch,Excel,Spark,TensorFlow",8,Bachelor,Remote,14391
337,"Excel,SQL,Python",4,Bachelor,Tel Aviv,13981
338,"Tableau,Scikit-learn,AWS,Spark,PyTorch,Excel",6,High School,Haifa,21092
339,"Scikit-learn,SQL,Tableau",3,Bachelor,Jerusalem,24803
340,"Scikit-learn,Docker,PyTorch",3,High School,Haifa,14825
341,"SQL,Power BI,Excel,Docker,Python,Scikit-learn",10,Bachelor,Tel Aviv,12415
342,"Docker,Python,Pandas,Power BI",5,Master,Haifa,24185
343,"Docker,Git,Scikit-learn,SQL",0,Master,Remote,20912
344,"Scikit-learn,Docker,Excel",10,High School,Remote,26915
345,"Python,Power BI,Excel,Pandas,TensorFlow",2,Master,Tel Aviv,15779
346,"Docker,Tableau,Python,Spark",0,Bachelor,Tel Aviv,27458
347,"PyTorch,Pandas,Git,Python,Tableau",10,PhD,Haifa,22544
348,"PyTorch,Docker,TensorFlow,Scikit-learn",1,Master,Tel Aviv,28450
